iddggame,gamename,subscription_enabled
8,Lotto,Y
9,CL-2,Y
10,Mini Lotto,Y
11,Zakłady Specjalne,N
15,CL-15,N
17,EuroJackpot,Y
18,Ekstra Pensja,Y
19,CL-3,Y
21,Szybkie 600,N
22,Keno,Y
23,CCC,Y
24,CL-24,Y
25,Kaskada,Y
27,Multi Multi,Y
29,CL-1,Y
91,CL-91,N
92,CL-92,N
93,CL-93,N
291,CL-291,N
